Partial,Newly Added,Deleted
_waitid_nocancel,,
"IOService::syncNotificationHandler(void *,void *,IOService*,IONotifier *)",,
"IOPMrootDomain::registerInterest(OSSymbol const*,int (*)(void *,void *,unsigned int,IOService *,void *,unsigned long),void *,void *)",,
_mac_vnode_notify_create,,
_clock_alarm,,
_nfs_buf_iodone,,
_fasttrap_pid_enable,,
_vfs_unmountbyfsid,,
_ifnet_flowadv,,
_necp_set_client_as_background,,
_ifnet_llreach_set_reachable,,
_nfs_reconnect,,
_revoke,,
_removexattr,,
_bridge_delayed_callback,,
_nstat_tucookie_alloc_internal,,
_mac_vnode_label_associate_extattr,,
_mac_vnode_label_update,,
_task_deliver_crash_notification,,
_dlil_terminate_input_thread,,
_ifnet_set_stat,,
_necp_inpcb_remove_cb,,
_msgctl,,
IOService::startMatching(unsigned int),,
"IOMachPort::releasePortForObject(OSObject *,unsigned int)",,
_mac_exc_update_action_label,,
_clock_update_calendar,,
_vm_object_memory_object_associate,,
_feth_ioctl,,
_sock_connectwait,,
_mac_system_check_info,,
_vm_object_terminate,,
_close_internal_locked,,
__Xmach_port_destruct,,
_pal_serial_getc,,
_nfsrv_remove,,
_ifnet_get_multicast_list,,
_kdebug_reset,,
_fdrelse,,
_serial_getc,,
_vc_progress_set,,
_nfs_request_match_reply,,
__Xmach_vm_read,,
_device_service_create,,
_pmap_protect_options,,
_flow_divert_init,,
_eventhandler_deregister,,
_thread_set_tsd_base,,
__Xio_service_acknowledge_notification,,
__serial_getc,,
_vnode_writedone,,
_vlan_parent_signal,,
_iv_dealloc,,
_host_processors,,
_sfi_defer,,
_thread_create_running_internal2,,
_nd6_prelist_add,,
_devsw_unlock,,
_ipc_bootstrap,,
_stack_alloc,,
__Xmach_port_insert_right,,
_route_output,,
_ipsec_deepcopy_policy,,
_ipsec6_output_trans,,
_key_delsp_for_ipsec_if,,
_pipe_read,,
__Xmach_port_get_refs,,
__Xmach_port_dnrequest_info,,
__Xmach_port_kobject,,
__Xio_service_request_probe,,
_nfs_release_open_state_for_node,,
_nfs_tcp_rcv,,
_buf_acquire_locked,,
_bridge_output,,
_necp_application_find_policy_match_internal,,
_regen_tmpaddr,,
_audit_unref_session,,
_launchd_crashed_panic,,
__Xmach_port_type,,
__Xmach_port_get_context,,
_throttle_timer,,
_bridge_ioctl,,
_netagent_ctl_getopt,,
_pf_test_dummynet,,
_sbpull_unordered_data,,
_clock_service_create,,
_pmap_adjust_unnest_parameters,,
_mac_mount_label_associate,,
_thread_suspended,,
__Xio_object_get_retain_count,,
_setxattr,,
_qfq_add_queue,,
_nd6_alt_node_addr_decompose,,
_fp_drop_written,,
_fp_drop_event,,
_so_set_effective_pid,,
_so_check_extended_bk_idle_time,,
_mp_rendezvous,,
_gss_krb5_3des_token_put,,
_buf_flushdirtyblks_skipinfo,,
_guarded_open_dprotected_np,,
_terminate_with_payload,,
_kern_dump,,
_lck_mtx_lock_acquire,,
_waitq_wakeup64_identify,,
__Xmach_port_guard,,
__Xmach_port_space_basic_info,,
_nfs_mount_zombie,,
__firehose_trace,,
IOPMrootDomain::acknowledgeSystemWillShutdown(IOService *),,
__Xio_service_wait_quiet,,
_mca_dump,,
_nfs4_mount,,
_inpcb_count_opportunistic,,
_sodealloc,,
_mac_vnode_notify_setutimes,,
__Xhost_set_multiuser_config_flags,,
__Xmach_port_move_member,,
__Xmach_port_set_seqno,,
__Xmach_port_insert_member,,
__Xmach_port_extract_member,,
__Xmach_port_set_context,,
__Xmach_port_unguard,,
__Xprocessor_set_destroy,,
__Xprocessor_set_max_priority,,
__Xprocessor_set_policy_enable,,
__Xprocessor_set_policy_disable,,
_esp6_ctlinput,,
_key_setdumpsp,,
_pipeclose,,
IOPlatformExpert::registerNVRAMController(IONVRAMController *),,
"IOSharedInterruptController::unregisterInterrupt(IOService *,int)",,
_mac_audit_check_preselect,,
_vnode_label,,
_ipc_importance_task_hold_file_lock_assertion,,
__Xtask_set_port_space,,
_pal_efi_call_in_32bit_mode,,
_vfs_iterate,,
_fseventswrite,,
_igmp_input,,
_ipsec_send_natt_keepalive,,
_recvit,,
IOGeneralMemoryDescriptor::serialize(OSSerialize *)const,,
__Xthread_create_running_from_user,,
_nfs_reqnext,,
_mptcp_subflow_disconnect,,
_kxld_destroy_context,,
IOCPU::start(IOService *),,
_lseek,,
_in6_ifloop_request,,
_iokit_task_terminate,,
_task_resume,,
_get_bank_task_context,,
_vm_swap_free,,
_vm_object_compressor_pager_create,,
_pmap_cpu_init,,
_nfs_gss_clnt_ctx_copy,,
_nfs_wait_reply,,
_fgetxattr,,
_nd6_if_prproxy,,
"IOGeneralMemoryDescriptor::dmaCommandOperation(unsigned int,void *,unsigned int)const",,
_convert_voucher_attr_control_to_port,,
__Xtask_assign,,
__Xthread_assign,,
_mac_externalize,,
_ipc_importance_task_hold_internal_assertion,,
_processor_up,,
_sfi_timer_per_class_on,,
_c_seg_move_to_sparse_list,,
_vm_paging_unmap_object,,
_vc_set_progressmeter,,
_ip_init,,
_tcp_usr_connectx_common,,
_aio_create_queue_entry,,
_pt_setrunnable,,
_soisdisconnected,,
OSKext::getPropertyForHostArch(char const*),,
"IOWriteExtentsToFile(IOPolledFileIOVars *,unsigned int)",,
"IOPolledFileClose(IOPolledFileIOVars **,long long,void *,unsigned long,long long,long long)",,
_thread_block_reason,,
_nfs_vnop_monitor,,
_pipe_write,,
_ifioctl,,
_netagent_init,,
_fd_rdwr,,
_setitimer,,
_task_crashinfo_destroy,,
_vm_shared_region_destroy,,
_pmap_flush_tlbs,,
_mptcp_input,,
_ipsec6_output_tunnel,,
_vfork_exit_internal,,
_is_io_registry_entry_create_iterator,,
_ipc_importance_task_drop_legacy_external_assertion,,
_semaphore_destroy,,
__Xmach_vm_behavior_set,,
_vclean,,
_ledger_instantiate,,
_vm_object_reap,,
_swapfile_pager_setup,,
_nfs_mirror_mount_domount,,
_fsctl,,
_ifnet_decr_iorefcnt,,
_ip6_setpktopt,,
_ubc_unmap,,
IOReporter::free(void),,
_convert_voucher_to_port,,
_sfi_class_offtime_cancel,,
_ah6_input,,
_ubc_info_init_internal,,
_m_pulldown,,
_task_name_for_pid,,
_thread_user_promotion_drop,,
__Xthread_set_policy,,
_nfs_socket_destroy,,
_key_spdacquire,,
_sched_traditional_thread_update_scan,,
_timer_queue_expire_with_options,,
__Xio_registry_entry_get_property_bytes,,
_fpxlog,,
_nd6_free,,
_nd6_llinfo_refresh,,
_knoteuse2kqlock,,
_mac_file_check_mmap_downgrade,,
__Xmach_port_rename,,
__Xmach_vm_inherit,,
_vm_decmp_upl_reprioritize,,
_mptcp_do_dss_opt_ack_meat,,
_connect_nocancel,,
_proc_pidoriginatorpid_uuid,,
_nfs_async_write_start,,
_process_vp,,
_vflush,,
_ifnet_start_thread_fn,,
_feth_output_common,,
_necp_set_socket_attribute,,
IOPMrootDomain::sleepWakeDebugRetrieve(void),,
_processor_doshutdown,,
_vm_object_iopl_wire_empty,,
_lck_mtx_lock_acquire_x86,,
_thread_set_wq_state32,,
_set_packet_qos,,
_sodisconnectwakeup,,
_mtrr_range_add,,
_ip_forward,,
__Xmach_port_allocate_qos,,
_nfs4_create_rpc,,
_get_file_handle,,
_nfs_need_reconnect,,
_qf_put,,
_ah6_ctlinput,,
_in6_tmpifadd,,
_sendit,,
_convert_semaphore_to_port,,
_assert_wait_timeout_with_leeway,,
_thread_call_finish,,
_thread_drop_ipc_override,,
_thread_drop_sync_ipc_override,,
__Xmach_vm_deallocate,,
_nfs_advlock_unlock,,
_cluster_write_copy,,
_ifnet_poll_thread_fn,,
_fp_free,,
_so_cache_timer,,
"IOPMrootDomain::takeStackshot(bool,bool,bool)",,
_kalloc_init,,
_i386_deactivate_cpu,,
_mtrr_range_remove,,
_in_rtqtimo,,
_ipsec4_interface_output,,
_ipsec4_output_internal,,
_audit_proc_coredump,,
_dup,,
_common_chdir,,
_ifnet_stat_increment,,
IOWorkLoop::workLoopWithOptions(unsigned int),,
__Xhost_get_boot_info,,
_nfs_vnop_ioctl,,
_arptfree,,
_in_clsroute,,
_ip_input_second_pass,,
_in6_selectsrc_core,,
_in6_clsroute,,
_fcntl_nocancel,,
_pipeselwakeup,,
_m_clalloc,,
"IOReporter::updateAllReports(OSSet *,IOReportChannelList *,unsigned int,void *,void *)",,
_ipc_kmsg_set_prealloc,,
_affinity_set_remove,,
_ast_taken_user,,
_proc_thread_qos_remove_override_internal,,
_usimple_lock,,
_decmpfs_init,,
IOGeneralMemoryDescriptor::free(void),,
_thread_resume,,
__Xthread_create_from_user,,
_nfs_buf_delwri_service,,
_nfs_buf_acquire,,
_setattrlistat,,
_clonefileat,,
_icmp6_reflect,,
_audit_mac_free,,
_kauth_resolver_submit,,
_oslogioctl,,
_soisdisconnecting,,
IOService::free(void),,
_ipc_importance_disconnect_task,,
_getnewbuf,,
_mptcp_ctloutput,,
IOUserClient::noMoreSenders(void),,
_mk_timer_create_trap,,
_fpextovrflt,,
_nfs4_vnop_getxattr,,
_feth_config,,
_in_rtqkill,,
IOService::driverSetPowerState(void),,
_ipc_pset_alloc_special,,
__Xio_registry_entry_in_plane,,
_sdt_destroy,,
_fgetattrlist,,
_fq_destroy,,
_exec_mach_imgact,,
OSKext::free(void),,
_kalloc_bucket_size,,
_waitq_set_clear_preposts,,
_nfs_buf_itercomplete,,
_vnode_ref_ext,,
_mknod,,
_procfdtbl_releasefd,,
_kqueue_stat,,
_lck_mtx_lock_wait,,
_close_nocancel,,
_IOFreeContiguous,,
__Xmach_port_extract_right,,
__Xread_overwrite,,
_vm_page_queues_remove,,
_open1,,
_dlil_init,,
_cfil_sock_close_wait,,
_ctl_register,,
___sigwait_nocancel,,
_thread_set_exec_promotion,,
_mount_drop,,
_iokit_make_send_right,,
"internal_io_service_add_notification(ipc_port *,char *,char const*,unsigned long,ipc_port *,void *,unsigned long,bool,OSObject **)",,
_port_name_to_thread_for_ulock,,
_ml_interrupt_prewarm,,
_lookup_traverse_union,,
_nstat_init,,
_guarded_open_np,,
_mac_exc_create_label_for_proc,,
_mac_exc_action_check_exception_send,,
_sfi_set_window,,
__Xio_object_get_class,,
__Xio_service_match_property_table_bin,,
_statfs,,
_nspace_proc_exit,,
_bridge_aging_timer,,
_if_updown,,
_ifnet_set_wake_flags,,
_necp_init,,
_pktap_bpf_tap,,
_mbuf_dump,,
_task_threads,,
_thread_deallocate,,
_thread_policy_reset,,
_timer_call_dequeue_unlocked,,
_vm_page_validate_cs,,
_vm_map_destroy,,
_fclonefileat,,
_mac_sysvsem_label_destroy,,
_mac_sysvshm_label_destroy,,
_mac_posixsem_label_destroy,,
_mac_posixshm_label_destroy,,
__Xhost_get_clock_control,,
_nstat_route_attach,,
IOMemoryMap::unmap(void),,
_mach_port_peek,,
__Xtask_get_special_port,,
__Xwrite,,
__Xregion_recurse,,
_nfs4_vnop_create,,
_keydb_newsecashead,,
"IOSharedInterruptController::disableInterrupt(IOService *,int)",,
_pmap_change_wiring,,
_mptcp_notify_mpfail,,
_gettimeofday,,
_soisconnected,,
_sched_timeshare_maintenance_continue,,
_thread_set_mode_and_absolute_pri_internal,,
_vm_pageout_initialize_page,,
__Xio_registry_entry_get_location_in_plane,,
_thread_set_wq_state64,,
_dtrace_invop_remove,,
_ptsread,,
_inet_ntop,,
__Xmach_vm_read_list,,
__Xmach_vm_page_range_query,,
__Xread_list,,
__Xio_service_match_property_table,,
_filt_specprocess,,
_rt_setmetrics,,
_select_internal,,
"IOPMrootDomain::setAggressiveness(unsigned long,unsigned long,unsigned int)",,
_bridge_forward,,
_vlan_output,,
_ptsstart,,
_ptcwrite,,
IORegistryEntry::makePlane(char const*),,
_ipc_pset_alloc_name,,
_assert_wait_deadline,,
__Xio_registry_entry_set_properties,,
_nfsrv_uc_cleanup,,
_statfs64,,
_ffsctl,,
_ifnet_start_common,,
_dlil_mit_tcall_fn,,
_cfil_release_sockbuf,,
_udp_output,,
_nd6_ra_input,,
_kxld_kext_relocate,,
_vm_object_lock_request,,
_sbwait,,
_clock_sleep_trap,,
_sfi_set_class_offtime,,
__Xhost_set_exception_ports,,
_act_thread_catt,,
_nfs_vnop_reclaim,,
_necp_update_all_clients_callout,,
_proc_set_wqptr,,
_mac_policy_initbsd,,
_thread_poll_yield,,
_task_vtimer_update,,
_thread_create_from_user,,
__Xio_iterator_is_valid,,
_mp_cpus_call_cpu_init,,
_copyfile,,
_pflog_packet,,
_inp_getmoptions,,
_nd6_na_output,,
_proc_pidvnodepathinfo,,
"IORegistryEntry::copyProperty(char const*,IORegistryPlane const*,unsigned int)const",,
"IORegistryEntry::copyProperty(OSString const*,IORegistryPlane const*,unsigned int)const",,
"IORegistryEntry::copyProperty(OSSymbol const*,IORegistryPlane const*,unsigned int)const",,
"IORegistryEntry::getProperty(OSSymbol const*,IORegistryPlane const*,unsigned int)const",,
"IORegistryEntry::getProperty(OSString const*,IORegistryPlane const*,unsigned int)const",,
"IORegistryEntry::getProperty(char const*,IORegistryPlane const*,unsigned int)const",,
_mac_vnode_label_free,,
_mac_pipe_label_free,,
_clear_wait_internal,,
__Xmach_vm_write,,
__Xthread_policy_get,,
_memory_object_lock_request,,
__Xio_registry_entry_get_path,,
__Xio_registry_entry_get_name_in_plane,,
_free_warm_timer_call,,
IOService::addPowerChild(IOService*),,
_mach_voucher_attr_control_get_values,,
_mach_port_get_status_helper,,
_assert_wait_deadline_with_leeway,,
_stack_collect,,
__Xio_service_get_busy_state,,
_mp_cpus_kick,,
_audit_arg_vnpath,,
_knote_set_qos_override_index,,
_mac_policy_register,,
___mac_get_pid,,
_mac_vnode_label_associate_singlelabel,,
__Xhost_default_memory_manager,,
__Xremap,,
__Xmap_page_query,,
__Xio_service_set_authorization_id,,
_krb5_cfx_crypt_mbuf,,
_stack_free_stack,,
_act_set_ast,,
_vm_page_request_reprioritize,,
_internal_enable_progressmeter,,
_set_tcp_stream_priority,,
_release_storage_unit,,
_assert_wait_timeout,,
_vm_page_slide,,
_console_write,,
_nfs4_parsefattr,,
_nfs_vfs_getattr,,
_vnode_resume,,
_chroot,,
_knote_markstayactive,,
_sowakeup,,
_ipc_right_copyin_two,,
_ivace_reference_by_value,,
_clock_gettimeofday,,
_waitq_wakeup64_one_locked,,
__Xhost_processor_sets,,
_vm_pageout_cluster,,
__Xio_service_get_state,,
_console_ring_try_empty,,
_nfs4_mount_callback_shutdown,,
IORemoveServicePlatformActions(IOService *),,
_is_io_registry_create_iterator,,
_mac_mount_label_get,,
_fileport_notify,,
_ledger_set_limit,,
_bsd_init,,
_proc_terminate,,
_semaphore_destroy_internal,,
_thread_dup2,,
__Xhost_security_set_task_token,,
__X_mach_make_memory_entry,,
__Xmake_memory_entry,,
_vm_swapout_thread,,
_vm_object_cache_remove,,
_lck_rw_lock_exclusive_to_shared,,
_dounmount_submounts,,
_in6_post_msg,,
_kqueue_process,,
_proc_pidthreadpathinfo,,
_audit_session_mksend,,
_zone_gc,,
__Xio_registry_entry_get_registry_entry_id,,
_utimes,,
_if_proto_free,,
_in_gif_output,,
_mptcp_output_csum,,
_mptcp_notify_mpready,,
_ah4_input,,
_sbunlock,,
_thread_terminate_enqueue,,
_vm_fault_wire,,
_esp_cbc_encrypt,,
_falloc_withalloc_locked,,
_thread_bind,,
_sched_traditional_steal_thread,,
_vm_pageout_throttle_up,,
_apple_protect_pager_deallocate_internal,,
IOCommandGate::setWorkLoop(IOWorkLoop *),,
_ipc_importance_reset,,
__Xclock_set_attributes,,
__Xmach_vm_page_info,,
__Xmake_memory_entry_64,,
_nfs_sock_poke,,
_kdebug_trace_start,,
_sysctl_unregister_oid,,
_is_io_service_get_matching_services_bin,,
_hibernate_teardown,,
__Xmach_vm_copy,,
__Xcopy,,
_upl_destroy,,
_mkfifo_extended,,
_remove_xattrfile,,
_ifioctl_iforder,,
_vlan_ioctl,,
OSMetaClass::postModLoad(void *),,
"IOStatistics::onClassRemoved(OSKext *,OSMetaClass *)",,
_mac_vnode_notify_setmode,,
_ipc_right_copyout,,
_thread_run_queue_remove,,
__Xmach_vm_msync,,
__Xmsync,,
_iokit_alloc_object_port,,
_nfs4_cb_rcv,,
_nfsrv_uc_proxy,,
_sysctl_rtsock,,
_necp_match_policy,,
_necp_get_socket_attributes,,
_knotes_dealloc,,
_proc_transcommit,,
_proc_info_internal,,
"OSKext::printSummary(_loaded_kext_summary *,int (*)(char const*,...),unsigned int)",,
_clock_get_calendar_absolute_and_microtime,,
__Xhost_set_special_port,,
__Xhost_set_UNDServer,,
_nfs4_open_rpc_internal,,
_vnode_reclaim_internal,,
_pf_remove_if_empty_ruleset,,
_postevent,,
__Xthread_depress_abort,,
_gss_krb5_cfx_get_mic,,
_dqunlock,,
_chmod_extended,,
_fifo_open,,
__Xmach_port_space_info,,
__Xallocate,,
_apple_protect_pager_trim,,
_ipf_inject_input,,
_proc_pidregionpathinfo3,,
_chflags,,
_nstat_tcp_release,,
_nstat_udp_release,,
_nstat_control_disconnect,,
_necp_session_action,,
_killpg1_pgrpfilt,,
"IOReporter::updateReport(IOReportChannelList *,unsigned int,void *,void *)",,
PMAssertionsTracker::pmAssertionsTracker(IOPMrootDomain *),,
__Xhost_security_create_task_token,,
__Xmach_port_names,,
_vm_page_do_delayed_work,,
_openbyid_np,,
"IOMachPort::portForObject(OSObject *,unsigned int)",,
_mac_vnode_notify_rename,,
_mac_vnode_notify_link,,
__Xmach_zone_info,,
_krb5_mic_mbuf,,
_netboot_setup,,
_rethrottle_thread,,
_ipsec_ctl_connect,,
_proc_transend,,
_thread_terminate_internal,,
_waitq_wakeup64_all_locked,,
__Xhost_get_UNDServer,,
__Xmach_vm_read_overwrite,,
__Xio_registry_entry_get_property_bin,,
_calculate_tcp_clock,,
_enable_wrap,,
_ttyflush,,
_mac_vnode_notify_open,,
_mac_vnode_notify_setacl,,
_mac_vnode_notify_setattrlist,,
_mac_vnode_notify_setflags,,
_mac_vnode_notify_truncate,,
_ipc_thread_destroy_exc_actions,,
__Xmach_port_request_notification,,
_nfs_buf_get,,
_pathconf,,
_ipsec4_encapsulate,,
_knote_vanish,,
_knote_clearstayactive,,
_exec_activate_image,,
_proc_drop_zombref,,
"IORegistryIterator::iterateOver(IORegistryEntry *,IORegistryPlane const*,unsigned int)",,
"IORegistryIterator::iterateOver(IORegistryPlane const*,unsigned int)",,
_mac_vnode_notify_setextattr,,
_mac_vnode_notify_setowner,,
__Xio_registry_entry_get_property_recursively,,
_in_pcbdispose,,
_tcp_ip_output,,
_knote_adjust_sync_qos,,
_proc_limitunblock,,
_ptmx_kqops_common,,
IOStatistics::onKextUnload(OSKext *),,
_clock_set_calendar_microtime,,
_alarm_done,,
_OSMalloc_nowait,,
_OSMalloc_noblock,,
__Xmach_vm_region_recurse,,
_nfs_nget,,
_kevent_extinfo_emit,,
_kdp_panic_dump,,
_alarm_expire,,
_vm_object_pageout,,
_mp_kdp_enter,,
_nfs_sillyrename,,
_fasttrap_provider_free,,
_utun_ctl_connect,,
_aio_work_thread,,
_ipc_voucher_send_preprocessing,,
_compute_stack_target,,
_thread_disable_sched_call,,
_fill_taskprocinfo,,
__Xmach_voucher_debug_info,,
_netboot_mountroot,,
_flistxattr,,
_mptcp_subflow_shutdown,,
_sysctl_imgsrcdev,,
_waitq_assert_wait64_leeway,,
_current_thread_aborted,,
_initialize_screen,,
_quotactl,,
_stf_pre_output,,
_audit,,
_knote_update_sync_override_state,,
_knote_suppress,,
_iv_dedup,,
_waitq_select_thread_locked,,
__Xio_iterator_next,,
_filt_wlupdateowner,,
_thread_timer_expire,,
_idle_thread_create,,
_sched_multiq_processor_csw_check,,
_task_clear_return_wait,,
__Xio_service_match_property_table_ool,,
_nfs_mount_rele,,
_clonefile_internal,,
_utun_ctl_send,,
_soo_drain,,
_host_request_notification,,
_buf_bwrite,,
_necp_ip6_output_find_policy_match,,
IOWorkLoop::threadMain(void),,
_thread_get_special_reply_port,,
_thread_dispatch,,
__Xmach_port_get_srights,,
_vm_map_clip_start,,
_vm_page_unwire,,
_kperf_sample_internal,,
_nfs_wait_bufs,,
_unmount_callback,,
"IOSharedInterruptController::initInterruptController(IOInterruptController *,OSData *)",,
_ipc_importance_task_hold_legacy_external_assertion,,
_fbt_init,,
_fpathconf,,
_proc_name,,
_ntp_loop_update_call,,
"_IOServiceJob::startJob(IOService *,int,unsigned int)",,
_mach_port_guard,,
_vm_pageout,,
_nfs_node_set_busy,,
_futimes,,
_tcp_set_foreground_cc,,
_task_deallocate,,
__Xprocessor_control,,
_bridge_enqueue,,
_in6_rtqtimo,,
_reboot_kernel,,
_proc_signalend,,
_nullfs_mount,,
_kxld_array_resize,,
"IOBufferMemoryDescriptor::withBytes(void const*,unsigned long,unsigned int,bool)",,
_kdp_serial_send,,
_vm_page_free_prepare_queues,,
_pf_purge_thread_cont,,
_task_gpu_utilisation,,
_thread_exception_enqueue,,
__Xclock_set_time,,
_getdirentriesattr,,
_kqueue_begin_processing,,
_proc_rele,,
"IOMemoryDescriptor::redirect(task *,bool)",,
__Xmach_port_set_attributes,,
__Xtask_inspect,,
__Xthread_get_special_port,,
_fsync_common,,
_ifnet_enable_output,,
__audit_slck_unlock,,
_dup2,,
_parse_machfile,,
"IOBufferMemoryDescriptor::withCapacity(unsigned long,unsigned int,bool)",,
_vm_page_free_list,,
_i386_activate_cpu,,
_badport_bandlim,,
_nd6_timeout,,
_kqueue_drain,,
_work_interval_ctl,,
_ttyrub,,
_start_ntp_loop,,
_zone_find_largest,,
_random_bool_gen_bits,,
IOHibernateDone(IOHibernateVars *),,
_thread_info_internal,,
__Xprocessor_set_statistics,,
IODeviceTreeAlloc(void *),,
IORegistryEntry::detachAll(IORegistryPlane const*),,
_mac_priv_grant,,
_audit_session_nosenders,,
_host_statistics,,
__Xmach_vm_region,,
__Xio_registry_entry_create_iterator,,
_forkproc_free,,
_bind,,
"IODTNVRAM::setProperty(OSSymbol const*,OSObject *)",,
_vm_object_sync,,
_nfs_node_clear_busy4,,
_fsetattrlist,,
_pf_send_tcp,,
_build_userspace_exit_reason,,
OSOrderedSet::copyCollection(OSDictionary *),,
IORegistryEntry::initialize(void),,
_waitq_unlink_all_cb,,
__Xkext_request,,
__Xio_registry_iterator_enter_entry,,
__Xio_registry_iterator_exit_entry,,
_necp_open,,
_cantrace,,
_nfs_mount_sock_thread_wake,,
_nfsrv_dorec,,
_gif_init,,
_identitysvc,,
_semaphore_dereference,,
_vm_shared_region_undo_mappings,,
_if_clone_attach,,
_nstat_tcp_add_watcher,,
_nstat_udp_add_watcher,,
_iptap_bpf_tap,,
_semctl,,
_semexit,,
_cpu_thread_init,,
_lltable_allocate_htbl,,
_filt_wlprocess,,
___semwait_signal_nocancel,,
"OSSerializer::forTarget(void *,bool (*)(void *,void *,OSSerialize *),void *)",,
_ipc_importance_task_process_updates,,
__Xmach_vm_protect,,
__Xread,,
_vm_swap_do_delayed_trim,,
__Xio_registry_entry_get_path_ool,,
_vnode_put_locked,,
_fchmod1,,
_filt_wldrop_and_unlock,,
OSData::free(void),,
_apple_protect_pager_setup,,
_vnode_list_add,,
_ptmx_get_ioctl,,
_mac_vnode_label_update_extattr,,
_ipc_kmsg_copyout_dest,,
_filt_vndetach,,
_bondport_timer_process_func,,
_di_root_image,,
_ipc_importance_task_mark_donor,,
_ipc_importance_clean,,
_kevent_register,,
_log_putc,,
_postpipeevent,,
_sohasoutofband,,
"IOBufferMemoryDescriptor::withOptions(unsigned int,unsigned long,unsigned long)",,
_mac_vnode_notify_deleteextattr,,
_mac_vnode_check_exec,,
_waitq_assert_wait64,,
_crypt_info_deallocate,,
_ipcomp4_input,,
_nullfs_getattr,,
_thread_affinity_dup,,
_compressor_pager_slot_lookup,,
_vm_fault_cleanup,,
_vm_pageout_object_terminate,,
_ifnet_clone_attach,,
_mptcp_adj_rmap,,
_sched_traditional_processor_queue_shutdown,,
_thread_terminate_crashed_threads,,
__Xhost_priv_statistics,,
_bank_billed_balance_safe,,
_bank_serviced_balance_safe,,
__Xprocessor_set_stack_usage,,
_nfs_vnop_inactive,,
_sprlock,,
_uwrite,,
_devfs_make_node_internal,,
_pf_osfp_fingerprint_hdr,,
_in_leavegroup,,
_pipe_drain,,
"IOSimpleReporter::with(IOService *,unsigned short,unsigned long long)",,
_OSMalloc_Tagrele,,
_nfs_disconnect,,
_fslog_extmod_msgtracer,,
_dlil_input_packet_list_common,,
_mptcp_usr_send,,
_kdbg_wakeup,,
_fg_free,,
___old_semwait_signal_nocancel,,
IOPMrootDomain::handleAggressivesRequests(void),,
_thread_update_process_threads,,
_truncate,,
_esp4_input_extended,,
_semundo_adjust,,
_thread_add_sync_ipc_override,,
_nfs_connect_upcall,,
_vn_clearunionwait,,
_listxattr,,
_icmp_input,,
_flow_divert_connect_out,,
"OSArray::withObjects(OSObject const**,unsigned int,unsigned int)",,
"OSData::withData(OSData const*,unsigned int,unsigned int)",,
"OSOrderedSet::withCapacity(unsigned int,int (*)(OSMetaClassBase const*,OSMetaClassBase const*,void *),void *)",,
"OSSet::withObjects(OSObject const**,unsigned int,unsigned int)",,
"IOCommandPool::commandPool(IOService *,IOWorkLoop *,unsigned int)",,
"IOTimerEventSource::timerEventSource(unsigned int,OSObject *,void (*)(OSObject *,IOTimerEventSource*))",,
"IONaturalMemoryCursor::withSpecification(unsigned long long,unsigned long long,unsigned long long)",,
"IOBigMemoryCursor::withSpecification(unsigned long long,unsigned long long,unsigned long long)",,
"IOLittleMemoryCursor::withSpecification(unsigned long long,unsigned long long,unsigned long long)",,
__cnputs,,
_open,,
_fs_snapshot,,
_IOHibernateSystemInit,,
IOPMPowerStateQueue::checkForWork(void),,
_is_io_service_get_matching_services_ool,,
_ipc_importance_release_value,,
_random_bool_gen_entropy,,
_nfs_node_set_busy4,,
_open_nocancel,,
_lf_advlock,,
_vnode_pager_get_mtime,,
_lck_mtx_unlock_wakeup,,
__Xmach_port_set_mscount,,
_vm_shared_region_slide,,
_mptcp_subflow_add,,
_audit_session_port,,
_kevent_copyout_dynkqinfo,,
__Xprocessor_get_assignment,,
_vm_pageout_wait,,
_igmp_v1v2_queue_report,,
_inm_print,,
IOService::notifyInterestedDriversDone(void),,
IOService::deassertPMDriverCall(IOPMDriverCallEntry *),,
"IOPMrootDomain::setPMSetting(OSSymbol const*,OSObject *)",,
_ipc_importance_release_locked,,
_vm_map_behavior_set,,
_kern_open_file_for_direct_io,,
_kern_stack_snapshot_internal,,
_ipc_task_reset,,
_OSMalloc_Tagfree,,
_processor_shutdown,,
_nfsrv_wakenfsd,,
_mac_policy_addto_labellist,,
_ipc_voucher_receive_postprocessing,,
_clock_gettimeofday_and_absolute_time,,
_thread_abort,,
__Xhost_processors,,
__Xprocessor_set_tasks,,
__Xprocessor_set_threads,,
_iopl_valid_data,,
__Xio_service_open_extended,,
_nfs_open_state_clear_busy,,
_nfs_sndunlock,,
_rip_output,,
IOInterruptEventSource::free(void),,
__Xpurgable_control,,
_ledger_set_callback,,
_thread_stack_enqueue,,
__Xmach_port_construct,,
_vm_swap_create_file,,
_nfs_gss_clnt_ctx_find_principal,,
_cluster_push_err,,
_proc_parentdropref,,
IOService::getOpenProviderIterator(void)const,,
IOService::getOpenClientIterator(void)const,,
"_IOOpenServiceIterator::iterator(OSIterator *,IOService const*,IOService const*)",,
_is_io_object_get_bundle_identifier,,
___mac_get_mount,,
_mac_cred_label_associate_kernel,,
_mac_cred_label_associate_user,,
_mac_vnode_label_recycle,,
_mac_sysvsem_label_recycle,,
_mac_sysvmsg_label_recycle,,
_mac_sysvmsq_label_recycle,,
_mac_thread_userret,,
_thread_remove_qos_policy,,
_apple_protect_pager_terminate_internal,,
_filt_ttyattach,,
_ifnet_stat_increment_in,,
_ifnet_stat_increment_out,,
